FEEDER,CAPACITY
IL31,5105.8
IL32,4121.4
IM20,4933.9
IM21,5500.0
IM22,5385.5
IM23,5224.8
IM25,5173.9
IM26,5314.5
IM27,5283.8
IM28,5247.2
IM29,5428.0
IM30,5196.7
IN21,5262.0
IN22,4108.8
IN23,5500.0
IN24,5500.0
IN25,5455.7
IN26,3967.1
IN27,5480.3
IN28,4975.3
IN29,5179.6
IN30,4746.9
IN31,4401.8
IN32,0.0
IN33,890.0
IN34,5298.6
IO21,2706.0
IO22,4350.0
IO23,5174.8
IO24,5107.8
IO25,5486.7
IO26,0.0
IO51,5757.0
IO52,6816.2
IO53,4924.4
IO54,9578.7
IO55,1384.9
IO56,7178.6
IO61,11000.0
IO62,9731.6
IO63,8392.1
IO64,0.0
IO65,4168.5
IO66,6476.3
IO71,8.2
IO72,10734.2
IO73,2845.3
IO74,9583.3
IO75,7158.9
IO76,6360.7
IP20,5265.3
IP21,5006.1
IP22,4763.4
IP23,4209.4
IP24,5500.0
IP25,5500.0
IP26,5460.5
IP27,5216.1
IP28,5353.5
IP29,0.0
IP30,5500.0
IP31,1852.3
IP32,5209.8
IP33,0.0
IP34,3162.1
IQ21,2728.2
IQ22,5437.0
IQ23,4514.6
IQ24,1990.0
IQ25,3826.4
IQ26,4343.0
IQ27,5495.0
IQ28,5173.9
IQ29,4530.0
IQ30,5449.0
IQ31,4568.0
IQ32,5500.0
IQ33,5483.9
IQ34,5222.7
IQ35,5164.7
IR22,3369.1
IR23,4905.4
IR24,3511.7
IR28,5188.5
IR29,5183.9
IR36,5491.7
IR37,4053.7
IR38,0.0
IR39,0.0
IR40,1382.7
IS20,0.0
IS21,3564.9
IS22,0.0
IS23,0.0
IS24,576.7
IS25,3786.6
IS26,0.0
IS27,2071.1
IS28,892.7
IS29,5174.4
IT20,5166.1
IT22,4350.9
IT23,2915.6
IT24,4401.6
IT25,4971.0
IT29,5500.0
IT30,2436.5
IT31,5400.1
IT32,4355.4
IT33,5231.9
IT34,4831.5
IU21,5386.1
IU22,524.0
IU23,0.0
IU24,5478.8
IU25,4341.7
IU26,5187.2
IU27,3343.8
IU28,4889.7
IU29,5202.5
IU30,4701.2
IU31,4964.5
IU32,5452.4
IU33,5351.1
IU34,5491.0
IU35,4552.1
IU36,4569.7
IU37,0.0
IU38,3995.6
IU39,5018.9
IU40,5430.6
IW20,5163.3
IW21,3668.2
IW22,0.0
IW23,5380.6
IW24,5221.4
IW25,1813.0
IW26,5500.0
IW27,0.0
IW28,3730.1
IW29,3746.9
IW30,3170.0
IW31,5263.0
IW32,3183.3
IW33,5500.0
IW34,0.0
IX20,3067.4
IX21,4518.8
IX22,0.0
IX23,4761.8
IX24,5342.2
IX25,4396.9
IX26,4061.9
IX27,4504.8
IX28,4505.6
IX29,3008.0
IX30,5277.9
IX31,5346.1
IX32,2707.5
IX33,0.0
IX34,4535.7
IY20,0.0
IY21,313.2
IY22,4614.1
IY23,2001.7
IY24,0.0
IY25,0.0
IY26,5206.4
IY27,3969.7
IY28,3126.8
IY29,4598.8
IY31,2285.7
IY32,232.0
IY33,0.0
IY34,0.0
IY35,1545.2
IZ22,0.0
IZ23,4604.9
IZ24,5392.6
IZ25,4919.8
IZ26,4122.4
IZ51,10546.2
IZ52,10029.3
IZ53,10836.0
IZ54,8985.3
IZ55,10007.2
IZ56,6310.6
IZ61,9886.8
IZ62,7768.5
IZ63,10387.3
IZ64,10540.7
IZ65,9821.7
IZ66,9576.5
