FEEDER,CAPACITY
GM34,4868.1
GM35,4989.9
GN21,5485.0
GN22,5379.8
GN23,4188.9
GN24,4821.1
GN25,1619.8
GN26,4898.7
GN27,3390.3
GN28,3405.6
GN29,4435.4
GN30,2975.8
GO20,5464.8
GO21,5404.9
GO22,0.0
GO23,5373.7
GO24,4802.3
GO25,5400.5
GO26,2990.0
GO27,4257.2
GO28,4110.0
GO29,5470.4
GO30,5465.9
GO31,5459.7
GO32,5294.3
GO33,5400.6
GO34,5008.4
GO35,5500.0
GO36,4349.6
GO37,4320.0
GO38,4683.9
GO39,5032.9
GP21,5163.2
GP22,5489.1
GP23,5174.1
GP24,5500.0
GP25,5181.8
GP26,5376.8
GP27,5452.5
GP28,5492.5
GP29,5500.0
GP30,5456.2
GP41,5500.0
GP42,5414.1
GP43,4300.0
GP44,5463.1
GP45,5500.0
GQ21,5490.8
GQ22,4510.0
GQ23,5500.0
GQ24,5500.0
GQ25,5359.4
GQ31,5491.6
GQ32,5330.0
GQ33,5494.4
GQ34,4979.5
GQ35,4355.9
GQ50,9649.9
GQ51,11000.0
GQ52,10591.2
GQ53,10990.3
GQ54,10941.2
GQ60,9508.2
GQ61,10972.8
GQ62,11000.0
GQ63,10991.0
GQ71,10868.2
GQ72,10941.5
GQ73,10388.3
GQ74,10980.5
GQ75,10875.2
GQ76,11000.0
GQ77,11000.0
GQ78,10927.6
GR21,5204.6
GR23,5166.0
GR25,5188.7
GR26,5259.3
GR27,5500.0
GR28,5400.0
GR29,5337.7
GR30,5303.7
GR31,5500.0
GR32,5390.8
GR33,5247.4
GR34,4985.8
GR35,5101.0
GR41,5500.0
GR42,5292.3
GR43,5309.3
GR44,4258.2
GR45,5500.0
GR46,5500.0
GS51,11000.0
GS52,10995.2
GS53,10996.2
GS54,11000.0
GS55,10974.4
GS56,10755.9
GS57,10242.5
GS58,11000.0
GS59,10972.7
GS60,10900.3
GS61,11000.0
GS62,10351.7
GS71,10839.2
GS72,11000.0
GS73,10732.5
GS74,10994.0
GS75,10347.0
GS76,10997.9
GT51,10854.6
GT52,10294.6
GT53,10464.9
GT54,10910.0
GT55,11000.0
GT56,10297.9
GT61,0.0
GT62,9307.2
GT63,11000.0
GT64,10640.2
GT65,10527.2
GT66,10901.7
GT71,10629.4
GT72,10776.8
GT73,10686.8
GT74,11000.0
GT75,10970.9
GT76,5942.3
GU51,10995.0
GU52,11000.0
GU53,10958.7
GU54,10688.4
GU55,10178.8
GU56,11000.0
GU57,10756.6
GU58,10701.1
GU61,10416.0
GU62,10458.9
GU63,10667.3
GU64,10835.8
GU65,10946.1
GU66,10726.2
GU67,10890.4
GU68,10704.1
GU71,10990.4
GU72,11000.0
GU73,11000.0
GU74,11000.0
GU75,10768.6
GU76,10976.4
GU77,7809.4
GU78,10651.2
GV51,10977.0
GV52,11000.0
GV53,10962.0
GV54,9825.4
GV61,11000.0
GV62,11000.0
GV63,11000.0
GV64,11000.0
GV65,11000.0
GV71,11000.0
GV72,11000.0
GV73,10982.9
GV74,11000.0
GV75,10707.6
GW21,5492.3
GW22,5183.0
GW23,5500.0
GW24,5094.5
GW25,5104.4
GW31,4643.1
GW32,5094.3
GW33,5352.3
GW34,5078.6
GW35,5490.4
GW41,5124.8
GW42,5400.8
GW43,5139.3
GW44,5426.9
GW45,5488.5
GX21,5319.7
GX22,4476.5
GX23,5441.5
GX24,0.0
GX25,5388.5
GX26,4349.1
GX27,5029.0
GX28,5500.0
GX29,5474.1
GX30,5041.3
GX31,5228.8
GX32,5376.2
GX33,3370.0
GX34,5276.5
GX35,3465.7
GY26,5500.0
GZ21,5230.4
GZ22,5462.9
H220,5500.0
H221,5500.0
H222,5473.5
H223,5500.0
H224,4623.7
H225,5280.2
H226,5500.0
H227,5275.2
H228,5270.6
H229,3430.0
H230,5416.4
H231,5439.9
H232,5257.1
H233,5120.0
H234,5182.8
H235,1506.8
H236,5480.2
H237,4915.3
H238,1930.0
H320,5423.8
H321,5488.0
H322,5442.3
H323,5108.6
H324,4820.1
H325,5481.1
H326,5480.3
H327,5476.6
H328,5375.9
H329,5500.0
H330,5252.8
H331,5500.0
H332,5461.9
H333,5500.0
H334,5376.2
H335,5500.0
H336,5384.2
H337,4560.3
H338,5500.0
H339,5500.0
H460,10900.8
H461,9501.1
H462,10961.7
H463,11000.0
H464,11000.0
H465,10075.0
H466,10714.6
H467,10153.1
H468,10928.6
H469,11000.0
H470,11000.0
H471,11000.0
H472,10580.2
H473,11000.0
H475,10900.2
H476,11000.0
H477,10000.3
H478,11000.0
H520,5292.1
H521,3664.2
H522,5395.2
H525,4078.9
H526,5410.5
H527,5190.0
H530,5500.0
H531,4214.5
H532,3770.4
H535,4749.6
H536,5272.0
H537,5480.2
H730,5500.0
H731,5500.0
H732,5468.6
H733,5383.5
H734,5130.0
H735,5467.7
H736,5500.0
H737,5451.2
H738,4017.9
H739,5369.0
H740,5452.8
H741,5440.7
H742,5500.0
H744,5490.1
H745,5398.9
H746,4470.0
H747,5500.0
H748,5121.9
H749,5500.0
H850,10420.6
H851,10598.1
H852,8041.8
H853,10958.7
H854,11000.0
H855,8122.0
H856,10706.9
H858,8062.7
H859,11000.0
H860,11000.0
H861,10743.0
H865,11000.0
H867,8884.2
H920,5016.2
H921,5490.0
H922,5481.1
H923,3975.9
H924,5258.7
H925,3850.0
H95A,4268.5
H95B,6746.5
H95C,11000.0
H95D,11000.0
H95F,7781.5
H95G,7150.3
HA21,5500.0
HA22,5477.2
HA23,5500.0
HA24,5500.0
HA25,5357.3
HA26,5488.6
HA27,5419.9
HA28,5401.2
HA29,3103.0
HA30,4214.1
HA41,5400.0
HA42,5222.1
HA43,4489.2
HA44,3075.5
HB20,5428.3
HB21,5420.5
HB22,5394.5
HB23,5417.7
HB24,5500.0
HB25,5500.0
HB26,4260.0
HB27,4993.8
HB28,5422.7
HB29,5327.5
HB30,4980.6
HB31,5440.2
HB32,4286.4
HB33,5396.0
HB34,5466.8
HB35,5004.0
HB36,5500.0
HB38,5423.9
HB39,5350.8
HB40,5363.9
HB41,5292.0
HB42,5486.1
HB43,5182.6
HB45,4919.2
HB46,5046.0
HB47,5468.9
HB48,5440.3
HB49,5484.4
