FEEDER,CAPACITY
﻿KG57,10885.3
﻿KG60,9340.3
﻿KG61,9402.9
﻿KG62,10588.9
﻿KG64,9421.7
﻿KG65,10884.1
﻿KG66,10518.2
﻿KG67,10458.0
﻿KG72,10918.6
﻿KG74,9965.5
﻿KG75,10714.0
﻿KG76,10976.2
﻿KG77,10974.8
﻿KG78,10928.4
﻿KH11,5200.4
﻿KH12,5374.1
﻿KH13,5327.8
﻿KH14,4851.7
﻿KH15,5167.0
﻿KH16,5477.9
﻿KH17,5208.9
﻿KH19,4446.5
﻿KH20,5146.7
﻿KH31,4440.0
﻿KH32,5495.0
﻿KH33,5029.1
﻿KH37,4802.7
﻿KH38,3614.7
﻿KH41,5277.5
﻿KH42,4710.0
﻿KH43,3070.0
﻿KH44,3640.0
﻿KH45,4998.3
﻿KH61,10632.7
﻿KH62,7840.8
﻿KH63,10890.9
﻿KH64,0.0
﻿KH65,9349.8
﻿KH66,11000.0
﻿KH71,10837.9
﻿KH72,10430.5
﻿KH73,9203.4
﻿KH74,10795.4
﻿KH75,9226.8
﻿KH76,9169.0
﻿KI21,5209.8
﻿KI22,4945.9
﻿KI23,4727.0
﻿KI24,3813.0
﻿KI25,5500.0
﻿KI26,5240.4
﻿KI27,5500.0
﻿KI28,4991.4
﻿KI29,5431.4
﻿KI30,5414.0
﻿KI31,5489.8
﻿KI32,5149.8
﻿KI33,5214.3
﻿KI34,5443.2
﻿KI35,5474.4
﻿KJ22,5133.8
﻿KJ23,0.0
﻿KJ24,4892.1
﻿KJ25,3692.9
﻿KJ26,5176.2
﻿KJ27,4150.2
﻿KJ28,3579.7
﻿KJ29,5500.0
﻿KJ30,4708.2
﻿KK23,0.0
﻿KK24,4039.9
﻿KK25,3665.9
﻿KK26,0.0
﻿KK27,3201.6
﻿KK28,5354.5
﻿KK29,4637.3
﻿KK30,5500.0
﻿KL21,4471.5
﻿KL22,3257.1
﻿KL23,5138.3
﻿KL24,4694.7
﻿KL25,5266.2
﻿KL26,3830.3
﻿KL27,2549.7
﻿KL28,0.0
﻿KL29,2771.8
﻿KL30,4614.9
﻿KM21,5434.0
﻿KM22,5162.2
﻿KM23,4785.8
﻿KM24,4875.5
﻿KM26,5453.1
﻿KM27,4946.2
﻿KM28,5424.9
﻿KM29,4694.5
﻿KM30,4015.1
﻿KM31,5071.8
﻿KM32,4599.2
﻿KM33,5218.2
﻿KM34,4090.7
﻿KM51,9772.4
﻿KM52,11000.0
﻿KN11,0.0
﻿KN12,0.0
﻿KN13,2879.6
﻿KN14,1670.0
﻿KN15,3928.6
﻿KN16,0.0
﻿KN17,0.0
﻿KN18,0.0
﻿KN19,5080.0
﻿KN20,5151.2
﻿KN23,4055.8
﻿KN24,0.0
﻿KN25,0.0
﻿KN26,3130.0
﻿KN28,0.0
﻿KN29,5306.5
﻿KN30,5000.2
﻿KN31,0.0
﻿KN32,3035.0
﻿KN33,2807.4
