FEEDER,CAPACITY
﻿EM25,5208.4
﻿EM26,5500.0
﻿EM27,5400.7
﻿EM29,5060.6
﻿EM30,4803.6
﻿EM31,5197.9
﻿EM33,5500.0
﻿EM35,5500.0
﻿EN21,4488.6
﻿EN22,5325.4
﻿EN23,5500.0
﻿EN25,5482.6
﻿EN26,5500.0
﻿EN27,5242.5
﻿EN28,5450.8
﻿EN29,5167.6
﻿EN30,5295.0
﻿EN31,5291.2
﻿EN32,4637.8
﻿EN34,5500.0
﻿EN35,5500.0
﻿EN36,3385.5
﻿EN37,5500.0
﻿EN38,4653.4
﻿EN39,5167.9
﻿EN40,5500.0
﻿EN41,5500.0
﻿EN42,5500.0
﻿EN43,5500.0
﻿EN44,5073.3
﻿EN45,5340.8
﻿EN46,5460.7
﻿EO22,5500.0
﻿EO23,80.0
﻿EO26,5063.8
﻿EO27,5500.0
﻿EO29,5500.0
﻿EO30,5500.0
﻿EO31,0.0
﻿EO32,4802.9
﻿EO33,3546.9
﻿EO35,5024.8
﻿EO36,5500.0
﻿EP21,5500.0
﻿EP22,5500.0
﻿EP23,5440.8
﻿EP26,5500.0
﻿EP27,4921.7
﻿EP28,5500.0
﻿EP29,4947.7
﻿EP30,5427.1
﻿EP31,3072.9
﻿EP32,5440.6
﻿EP33,5469.1
﻿EP34,5324.3
﻿EP35,3647.8
﻿EP36,5500.0
﻿EP37,4945.6
﻿EP39,5250.1
﻿EP40,5429.5
﻿EP41,5295.8
﻿EP42,5460.7
﻿EP43,5500.0
﻿EP44,4987.7
﻿EP45,5480.5
﻿EQ21,5500.0
﻿EQ22,5500.0
﻿EQ23,5500.0
﻿EQ25,5455.2
﻿EQ26,4931.9
﻿EQ27,5500.0
﻿EQ28,5429.2
﻿EQ29,5500.0
﻿EQ30,5500.0
﻿EQ32,540.0
﻿EQ33,4504.5
﻿EQ34,5500.0
﻿EQ35,5500.0
﻿EQ36,5200.8
﻿EQ37,5500.0
﻿EQ38,0.0
﻿EQ39,5500.0
﻿EQ40,4971.8
﻿EQ42,5500.0
﻿EQ44,5500.0
﻿EQ45,5401.2
﻿EQ46,5500.0
﻿ER21,5500.0
﻿ER23,5455.6
﻿ER25,5490.0
﻿ER26,5500.0
﻿ER27,5456.5
﻿ER28,5067.3
﻿ER31,5482.9
﻿ER32,5270.2
﻿ER33,5500.0
﻿ER34,5484.9
﻿ER36,5441.7
﻿ER37,5220.0
﻿ER38,4867.7
﻿ER39,5480.3
﻿ER40,5351.7
﻿ES21,1636.8
﻿ES22,5500.0
﻿ES23,4831.5
﻿ES25,3908.6
﻿ES26,4300.0
﻿ES27,5500.0
﻿ES28,3500.2
﻿ES29,5454.8
﻿ES30,5465.5
﻿ES31,4040.8
﻿ES32,5500.0
﻿ES33,5453.5
﻿ES34,4763.0
﻿ES35,4620.6
﻿ET21,3876.9
﻿ET23,3501.1
﻿ET27,5500.0
﻿ET28,5500.0
﻿ET29,5500.0
﻿ET30,5500.0
﻿ET31,5273.4
﻿ET32,5500.0
﻿ET33,5500.0
﻿ET34,5296.2
﻿ET35,5491.5
﻿ET36,5500.0
﻿EU21,5500.0
﻿EU22,5500.0
﻿EU23,4108.6
﻿EU25,5000.2
﻿EU26,3948.4
﻿EU27,5500.0
﻿EU28,3915.0
﻿EU29,5467.2
﻿EU31,5324.1
﻿EV01,5106.1
﻿EV02,5293.2
﻿EV03,4670.0
﻿EV04,5500.0
﻿EV05,5500.0
﻿EV07,5319.8
﻿EV08,5500.0
